car_entry_id,year,make,model,trim,miles,offer
345,2019,Honda,Civic,EX-L,68044,21999
346,2019,Honda,Civic,EX,95278,18999
347,2012,Honda,Civic,LX,115919,10950
348,2022,Honda,Civic,Sport Touring Hatchback,9834,30589
349,2020,Honda,Civic,LX,25976,21000
350,2021,Honda,Civic,EX,21545,25990
351,2022,Honda,Civic,LX,23845,26677
352,2022,Honda,Civic,Sport,19344,27998
353,2022,Honda,Civic,EX-L Hatchback,12580,28999
354,2021,Honda,Civic,Type R Hatchback,18886,42999
355,2010,Honda,Civic,LX,96352,10250
356,2021,Honda,Civic,LX,48638,22135
357,2020,Honda,Civic,EX,89328,19688
358,2021,Honda,Civic,Sport Hatchback,32957,26572
359,2020,Honda,Civic,EX-L,34388,23850
360,2019,Honda,Civic,Sport,77769,20195
361,2020,Honda,Civic,LX,55482,17999
362,2021,Honda,Civic,Sport,33840,24589
363,2017,Honda,Civic,EX-L,74495,18708
364,2019,Honda,Civic,EX,88144,18600
365,2017,Honda,Civic,EX-L,32177,22998
366,2014,Honda,Civic,EX Coupe,151976,11872
367,2018,Honda,Civic,Type R Touring Hatchback,11219,41999
368,2022,Honda,Civic,EX-L Hatchback,14238,28999
369,2015,Honda,Civic,LX,96940,13981
370,2019,Honda,Civic,EX,30850,22882
371,2022,Honda,Civic,Touring,26578,26996
372,2020,Honda,Civic,Sport,43937,23590
373,2022,Honda,Civic,Sport,27400,25400
374,2019,Honda,Civic,Touring,100798,19589
375,2018,Honda,Civic,LX,53303,18950
376,2020,Honda,Civic,LX,12212,21534
377,2012,Honda,Civic,LX,104492,13998
378,2019,Honda,Civic,LX,24658,21999
379,2016,Honda,Civic,EX-T Coupe,93689,17000
380,2020,Honda,Civic,Sport,42240,22998
381,2020,Honda,Civic,Sport,79825,20998
382,2020,Honda,Civic,Sport,33338,21904
383,2022,Honda,Civic,EX,24048,26998
384,2020,Honda,Civic,LX,78042,19990
385,2019,Honda,Civic,EX Hatchback,34801,23589
386,2019,Honda,Civic,LX,11181,22998
387,2022,Honda,Civic,Touring,29107,28466
388,2013,Honda,Civic,LX,144810,9590
389,2017,Honda,Civic,LX Coupe,8856,22590
390,2014,Honda,Civic,EX Coupe,104798,12965
391,2019,Honda,Civic,Type R Hatchback,23465,39998
392,2022,Honda,Civic,Sport Touring Hatchback,11174,25888
393,2019,Honda,Civic,Si,57067,23998
394,2019,Honda,Civic,LX,46070,20786
395,2016,Honda,Civic,EX-T Coupe,93689,17000
396,2015,Honda,Civic,EX,60867,14995
397,2020,Honda,Civic,Sport,55933,22998
398,2020,Honda,Civic,Sport,37727,21507
399,2021,Honda,Civic,Sport Hatchback,21546,25999
400,2019,Honda,Civic,LX,28303,21999
401,2017,Honda,Civic,LX,56186,19365
402,2012,Honda,Civic,LX,77899,14990
403,2021,Honda,Civic,EX,38876,23999
404,2015,Honda,Civic,EX-L,5557,22590
405,2019,Honda,Civic,Sport,35181,22990
406,2021,Honda,Civic,LX,48638,22135
407,2020,Honda,Civic,Sport,42641,22500
408,2019,Honda,Civic,LX,14294,22990
409,2015,Honda,Civic,EX,119767,13491
410,2020,Honda,Civic,Sport,11267,27249
411,2013,Honda,Civic,LX,98611,12000
412,2018,Honda,Civic,LX,19763,19444
413,2019,Honda,Civic,LX Coupe,40401,17900
414,2017,Honda,Civic,EX,49355,21282
415,2020,Honda,Civic,EX,39869,21995
416,2018,Honda,Civic,EX,100268,18998
417,2018,Honda,Civic,LX,19763,19444
418,2017,Honda,Civic,EX,49355,21282
419,2020,Honda,Civic,EX,39869,21995
420,2018,Honda,Civic,Sport Hatchback,53669,21998
421,2020,Honda,Civic,LX,8040,23998
422,2022,Honda,Civic,EX-L Hatchback,33123,26942
423,2021,Honda,Civic,Sport Touring Hatchback,73096,25590
424,2021,Honda,Civic,Sport Hatchback,8110,29764
425,2022,Honda,Civic,EX-L Hatchback,20099,28589
426,2013,Honda,Civic,LX Coupe,34106,16990
427,2020,Honda,Civic,Sport Hatchback,29953,24999
428,2018,Honda,Civic,EX Hatchback,8567,25990
429,2019,Honda,Civic,LX,48158,20990
430,2020,Honda,Civic,EX-L,61255,22898
431,2019,Honda,Civic,LX,10634,23998
432,2017,Honda,Civic,EX-T,54353,19995
433,2016,Honda,Civic,EX-L,72841,19590
434,2019,Honda,Civic,LX,40220,21998
435,2019,Honda,Civic,LX,10635,23998
436,2019,Honda,Civic,Touring,75801,21757
437,2018,Honda,Civic,EX Hatchback,99580,19998
438,2019,Honda,Civic,LX,40220,21998
439,2018,Honda,Civic,EX,12328,23998
440,2017,Honda,Civic,LX Hatchback,13217,22998
441,2020,Honda,Civic,Sport,52050,23674
442,2020,Honda,Civic,EX-L Hatchback,45637,24731
443,2017,Honda,Civic,LX Coupe,14741,22990
444,2018,Honda,Civic,EX-L Coupe,46372,21998
445,2020,Honda,Civic,LX,50055,20990
446,2019,Honda,Civic,LX,15194,22990
447,2019,Honda,Civic,EX Hatchback,60357,22000
448,2019,Honda,Civic,EX,49139,22590
449,2020,Honda,Civic,LX,98455,19998
450,2019,Honda,Civic,Sport,7170,25998
451,2021,Honda,Civic,Sport Hatchback,68935,24997
452,2022,Honda,Civic,Sport,31245,26296
453,2021,Honda,Civic,EX,40700,24998
454,2017,Honda,Civic,Si,80358,20990
455,2022,Honda,Civic,EX,22890,26955
456,2019,Honda,Civic,EX-L,8132,25998
457,2021,Honda,Civic,LX,43887,22998
458,2019,Honda,Civic,Type R Hatchback,19551,40999
459,2014,Honda,Civic,LX,45692,17590
460,2020,Honda,Civic,Sport Hatchback,51579,23998
461,2022,Honda,Civic,Sport Touring Hatchback,11174,25888
462,2019,Honda,Civic,LX,14113,23998
463,2022,Honda,Civic,Sport,30675,26272
464,2021,Honda,Civic,Sport,46655,23998
465,2005,Honda,Civic,Hybrid,76920,8995
466,2019,Honda,Civic,Type R Hatchback,18276,41589
467,2018,Honda,Civic,EX-L,74078,20998
468,2021,Honda,Civic,Sport,46450,23499
469,2020,Honda,Civic,LX,9801,23589
470,2013,Honda,Civic,EX,143651,9895
471,2016,Honda,Civic,EX,45420,19491
472,2019,Honda,Civic,LX Hatchback,142000,15500
473,2022,Honda,Civic,EX,39417,26097
474,2020,Honda,Civic,EX-L,22906,23400
475,2021,Honda,Civic,LX,15383,23998
476,2022,Honda,Civic,EX,5324,27998
477,2022,Honda,Civic,Sport,43219,24194
478,2021,Honda,Civic,Sport Touring Hatchback,72495,26590
479,2020,Honda,Civic,LX,54154,21998
480,2015,Honda,Civic,SE,17982,19998
481,2022,Honda,Civic,Sport,7002,27998
482,2019,Honda,Civic,Si,30816,26589
483,2015,Honda,Civic,LX,24688,18590
484,2019,Honda,Civic,Sport,52988,22590
485,2017,Honda,Civic,Type R Hatchback,34794,38000
486,2021,Honda,Civic,EX,44403,24998
487,2018,Honda,Civic,EX-L Hatchback,43484,23462
488,2022,Honda,Civic,Sport,8922,27998
489,2020,Honda,Civic,EX Hatchback,74272,22999
490,2015,Honda,Civic,Si,76987,18888
491,2023,Honda,Civic,LX,3890,27995
492,2020,Honda,Civic,Sport,29121,24873
493,2022,Honda,Civic,EX,24691,26590
494,2019,Honda,Civic,Type R Hatchback,30387,39256
495,2018,Honda,Civic,EX Hatchback,76529,18997
496,2022,Honda,Civic,Sport Touring Hatchback,33354,28987
497,2022,Honda,Civic,Sport,30174,25999
498,2022,Honda,Civic,Sport Hatchback,4434,29590
499,2019,Honda,Civic,EX-L,49822,23300
500,2016,Honda,Civic,LX,115458,13295
501,2020,Honda,Civic,Sport,54648,23998
502,2022,Honda,Civic,Sport Hatchback,8638,28998
503,2019,Honda,Civic,Type R Hatchback,30387,39256
504,2020,Honda,Civic,EX Hatchback,74272,22999
505,2020,Honda,Civic,LX,17747,23998
506,2020,Honda,Civic,Sport Hatchback,12967,26998
507,2016,Honda,Civic,EX-T,169492,13731
508,2020,Honda,Civic,Sport,112747,19996
509,2020,Honda,Civic,Sport Hatchback,52358,23998
510,2023,Honda,Civic,Sport,1526,29998
511,2023,Honda,Civic,Sport,2230,29998
512,2023,Honda,Civic,Sport,2087,29998
513,2013,Honda,Civic,Si Coupe,135690,11975
514,2019,Honda,Civic,Sport Touring Hatchback,39579,25998
515,2020,Honda,Civic,EX Hatchback,13722,27135
516,2023,Honda,Civic,Sport,7518,28998
517,2022,Honda,Civic,Sport,45548,24999
518,2022,Honda,Civic,Sport,12694,27590
519,2019,Honda,Civic,LX,24159,20391
520,2016,Honda,Civic,EX-T,60299,18770
521,2016,Honda,Civic,EX-T,60299,18770
522,2018,Honda,Civic,EX,43224,21672
523,2016,Honda,Civic,LX,57301,18000
524,2020,Honda,Civic,Sport Touring Hatchback,64629,25988
525,2022,Honda,Civic,EX,10950,28998
526,2020,Honda,Civic,EX Hatchback,8926,25999
527,2023,Honda,Civic,Sport Hatchback,4120,29998
528,2019,Honda,Civic,Type R Hatchback,7706,43590
529,2018,Honda,Civic,Si,51957,24998
530,2020,Honda,Civic,LX,21380,22509
531,2011,Honda,Civic,LX,157204,7995
532,2019,Honda,Civic,Si,52430,24990
533,2021,Honda,Civic,Type R Hatchback,32023,41999
534,2020,Honda,Civic,Sport,16581,25998
535,2022,Honda,Civic,EX,13672,27990
536,2022,Honda,Civic,Sport Touring Hatchback,9535,30998
537,2015,Honda,Civic,LX,81365,15999
538,2022,Honda,Civic,Touring,10261,30590
539,2019,Honda,Civic,LX,44469,19900
540,2016,Honda,Civic,EX-T,58889,19000
541,2020,Honda,Civic,LX,21520,22990
542,2020,Honda,Civic,LX,21520,22990
543,2022,Honda,Civic,Sport,15282,27522
544,2015,Honda,Civic,EX,113239,14900
545,2022,Honda,Civic,Sport Hatchback,14068,27998
546,2020,Honda,Civic,LX,17151,22589
547,2019,Honda,Civic,Sport,47613,24998
548,2017,Honda,Civic,LX,74975,17990
549,2023,Honda,Civic,Si,1115,34990
550,2012,Honda,Civic,LX,32973,16990
551,2012,Honda,Civic,LX,49052,13950
552,2018,Honda,Civic,LX,63120,15500
553,2012,Honda,Civic,EX,136257,10399
554,2019,Honda,Civic,EX,19395,24998
